ID,Type,Setup,Punchline
213,general,What do you call a pig with three eyes?,Piiig
367,programming,An IPv6 packet is walking out of the house.,He goes nowhere.
164,general,What did Romans use to cut pizza before the rolling cutter was invented?,Lil Caesars
431,general,Why did the coffee file a police report?,It got mugged.
232,general,What do you get when you cross a snowman with a vampire?,Frostbite.
360,general,Why does Superman get invited to dinners?,Because he is a Supperhero.
398,general,99.9% of the people are dumb!,Fortunately I belong to the remaining 1%
410,programming,How many React developers does it take to change a lightbulb?,"None, they prefer dark mode."
35,general,Why did the mushroom get invited to the party?,Because he was a fungi.
225,general,What do you call two barracuda fish?,A Pairacuda!
